2026-07-15 17:13:50,097 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-black-maria_991/index.html
2026-07-15 17:13:51,252 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-black-maria_991/index.html fetched succesfully. status code: 200
2026-07-15 17:13:51,262 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-black-maria_991/index.html parsing is completed
2026-07-15 17:13:51,265 | scraperflow.cli | INFO     | cli.py:89 | Data is saved in json
2026-07-19 17:33:04,284 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-19 17:33:05,354 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-19 17:33:05,379 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html parsing is completed
2026-07-19 17:33:05,379 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
2026-07-19 17:33:06,445 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html fetched succesfully. status code: 200
2026-07-19 17:33:06,453 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html parsing is completed
2026-07-19 17:33:06,453 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/soumission_998/index.html
2026-07-19 17:33:07,551 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/soumission_998/index.html fetched succesfully. status code: 200
2026-07-19 17:33:07,555 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/soumission_998/index.html parsing is completed
2026-07-19 17:33:07,555 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/sharp-objects_997/index.html
2026-07-19 17:33:08,699 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/sharp-objects_997/index.html fetched succesfully. status code: 200
2026-07-19 17:33:08,707 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/sharp-objects_997/index.html parsing is completed
2026-07-19 17:33:08,708 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
2026-07-19 17:33:09,772 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html fetched succesfully. status code: 200
2026-07-19 17:33:09,781 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html parsing is completed
2026-07-19 17:33:09,781 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
2026-07-19 17:33:10,904 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-requiem-red_995/index.html fetched succesfully. status code: 200
2026-07-19 17:33:10,915 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-requiem-red_995/index.html parsing is completed
2026-07-19 17:33:10,915 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
2026-07-19 17:33:12,179 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html fetched succesfully. status code: 200
2026-07-19 17:33:12,189 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html parsing is completed
2026-07-19 17:33:12,189 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
2026-07-19 17:33:13,373 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html fetched succesfully. status code: 200
2026-07-19 17:33:13,384 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html parsing is completed
2026-07-19 17:33:13,385 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
2026-07-19 17:33:14,587 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html fetched succesfully. status code: 200
2026-07-19 17:33:14,601 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html parsing is completed
2026-07-19 17:33:14,601 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-black-maria_991/index.html
2026-07-19 17:33:15,763 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-black-maria_991/index.html fetched succesfully. status code: 200
2026-07-19 17:33:15,774 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-black-maria_991/index.html parsing is completed
2026-07-19 17:33:15,778 | scraperflow.cli | INFO     | cli.py:89 | Data is saved in json
2026-07-19 17:47:49,047 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-19 17:47:50,271 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-19 17:47:50,297 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html parsing is completed
2026-07-19 17:47:50,297 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
2026-07-19 17:47:51,397 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html fetched succesfully. status code: 200
2026-07-19 17:47:51,406 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html parsing is completed
2026-07-19 17:47:51,406 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/soumission_998/index.html
2026-07-19 17:47:52,429 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/soumission_998/index.html fetched succesfully. status code: 200
2026-07-19 17:47:52,434 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/soumission_998/index.html parsing is completed
2026-07-19 17:47:52,434 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/sharp-objects_997/index.html
2026-07-19 17:47:53,557 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/sharp-objects_997/index.html fetched succesfully. status code: 200
2026-07-19 17:47:53,564 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/sharp-objects_997/index.html parsing is completed
2026-07-19 17:47:53,564 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
2026-07-19 17:47:54,621 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html fetched succesfully. status code: 200
2026-07-19 17:47:54,630 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html parsing is completed
2026-07-19 17:47:54,631 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
2026-07-19 17:47:55,748 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-requiem-red_995/index.html fetched succesfully. status code: 200
2026-07-19 17:47:55,759 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-requiem-red_995/index.html parsing is completed
2026-07-19 17:47:55,759 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
2026-07-19 17:47:56,926 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html fetched succesfully. status code: 200
2026-07-19 17:47:56,935 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html parsing is completed
2026-07-19 17:47:56,935 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
2026-07-19 17:47:58,055 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html fetched succesfully. status code: 200
2026-07-19 17:47:58,061 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html parsing is completed
2026-07-19 17:47:58,062 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
2026-07-19 17:47:59,127 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html fetched succesfully. status code: 200
2026-07-19 17:47:59,141 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html parsing is completed
2026-07-19 17:47:59,141 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-black-maria_991/index.html
2026-07-19 17:48:00,253 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-black-maria_991/index.html fetched succesfully. status code: 200
2026-07-19 17:48:00,264 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-black-maria_991/index.html parsing is completed
2026-07-19 17:48:00,267 | scraperflow.cli | INFO     | cli.py:89 | Data is saved in json
2026-07-22 18:38:49,012 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-22 18:38:51,558 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-22 18:42:26,177 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-22 18:42:27,036 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-22 18:42:27,059 | scraperflow.scraper | INFO     | scraper.py:47 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html parsing is completed
2026-07-22 18:42:27,078 | scraperflow.scraper | INFO     | scraper.py:52 | Data is saved in json
2026-07-22 19:02:55,874 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-22 19:02:57,933 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-22 19:02:57,958 | scraperflow.scraper | INFO     | scraper.py:47 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html parsing is completed
2026-07-22 19:02:57,962 | scraperflow.scraper | INFO     | scraper.py:52 | Data is saved in json
2026-07-22 19:03:38,649 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-22 19:03:39,406 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-22 19:03:39,420 | scraperflow.scraper | INFO     | scraper.py:47 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html parsing is completed
2026-07-22 19:03:39,420 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:03:40,692 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001 fetched succesfully. status code: 200
2026-07-22 19:03:40,706 | scraperflow.parser | WARNING  | parser.py:16 | Could not parse title from https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:03:40,706 | scraperflow.scraper | WARNING  | scraper.py:45 | Data is not parsed for URL: https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:03:40,708 | scraperflow.scraper | INFO     | scraper.py:52 | Data is saved in json
2026-07-22 19:04:10,308 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-22 19:04:11,103 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-22 19:04:11,122 | scraperflow.scraper | INFO     | scraper.py:47 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html parsing is completed
2026-07-22 19:04:11,123 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:04:11,279 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001 fetched succesfully. status code: 200
2026-07-22 19:04:11,293 | scraperflow.parser | WARNING  | parser.py:16 | Could not parse title from https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:04:11,293 | scraperflow.scraper | WARNING  | scraper.py:45 | Data is not parsed for URL: https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:04:11,296 | scraperflow.scraper | INFO     | scraper.py:52 | Data is saved in json
2026-07-22 19:04:11,296 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-22 19:04:12,161 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-22 19:04:36,375 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-22 19:04:37,241 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-22 19:05:40,030 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-22 19:05:40,991 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-22 19:05:41,010 | scraperflow.scraper | INFO     | scraper.py:47 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html parsing is completed
2026-07-22 19:05:41,010 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:05:41,750 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001 fetched succesfully. status code: 200
2026-07-22 19:05:41,755 | scraperflow.parser | WARNING  | parser.py:16 | Could not parse title from https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:05:41,755 | scraperflow.scraper | WARNING  | scraper.py:45 | Data is not parsed for URL: https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:05:41,757 | scraperflow.scraper | INFO     | scraper.py:52 | Data is saved in json
2026-07-22 19:05:41,757 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-22 19:05:48,772 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-22 19:07:37,256 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-22 19:07:38,245 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-22 19:07:38,270 | scraperflow.scraper | INFO     | scraper.py:47 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html parsing is completed
2026-07-22 19:07:38,270 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:07:38,521 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001 fetched succesfully. status code: 200
2026-07-22 19:07:38,534 | scraperflow.parser | WARNING  | parser.py:16 | Could not parse title from https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:07:38,534 | scraperflow.scraper | WARNING  | scraper.py:45 | Data is not parsed for URL: https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:07:38,537 | scraperflow.scraper | INFO     | scraper.py:52 | Data is saved in json
2026-07-22 19:07:38,538 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-22 19:07:39,397 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-22 19:08:27,796 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-22 19:08:28,607 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-22 19:08:28,631 | scraperflow.scraper | INFO     | scraper.py:47 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html parsing is completed
2026-07-22 19:08:28,631 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:08:28,759 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001 fetched succesfully. status code: 200
2026-07-22 19:08:28,772 | scraperflow.parser | WARNING  | parser.py:16 | Could not parse title from https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:08:28,772 | scraperflow.scraper | WARNING  | scraper.py:45 | Data is not parsed for URL: https://webscraper.io/test-sites/product/mercedes-benz-w123-280e-1955-c001
2026-07-22 19:08:28,775 | scraperflow.scraper | INFO     | scraper.py:52 | Data is saved in json
